type,likes,num_comments,num_shares,days_from_event,revenue,total_transactions,collab,date,num_posts,memberships_sold,pop,popcorn_large,popcorn_medium,popcorn_small,Alcohol,general_promo_likes,general_promo_shares,type_post,candy,event_id,movie_1_title,movie_2_title,movie_1_rating,movie_2_rating,movie_1_review_count,movie_2_review_count,movie_1_genre,movie_2_genre,movie_1_release_year,movie_2_release_year,num_movies,double_feature,avg_movie_rating,max_movie_rating,total_review_count,max_review_count,avg_release_year,oldest_release_year,event_year,avg_movie_age,primary_genre,popularity_bucket,log_max_review_count,log_total_review_count,month,day_of_week,total_engagement,engagement_per_post
Regular screening,291.0,7.0,141.0,2.0,472.46,95.0,No,2025-09-04,1,62.0,17.0,7.0,11.0,5.0,0.0,,,individual,0.0,1,Perks of Being a Wallflower,Welcome to The Dollhouse,4.0,3.6,635996.0,37579.0,Drama,Comedy/Drama,2012.0,1995.0,2,1,3.8,4.0,673575.0,635996.0,2003.5,1995.0,2025,21.5,Drama,Very High,13.362949125330003,13.420356111821828,9,Thursday,439.0,439.0
Regular screening,222.0,4.0,118.0,2.0,598.42,108.0,No,2025-09-08,1,74.0,19.0,9.0,17.0,12.0,0.0,,,individual,0.0,2,Mean Girls,Jawbreaker,3.8,3.4,401508.0,47246.0,Comedy/Drama,Comedy/Thriller,2004.0,1999.0,2,1,3.5999999999999996,3.8,448754.0,401508.0,2001.5,1999.0,2025,23.5,Comedy,Very High,12.902985228057943,13.014232360783835,9,Monday,344.0,344.0
Regular screening,228.0,11.0,129.0,2.0,633.93,128.0,No,2025-09-11,1,71.0,26.0,20.0,21.0,8.0,0.0,,,individual,0.0,3,American Psycho,Rules of Attraction,3.8,3.3,555179.0,12652.0,Crime/Drama/Thriller,Comedy/Drama,2000.0,2002.0,2,1,3.55,3.8,567831.0,555179.0,2001.0,2000.0,2025,24.0,Crime,Very High,13.227047664471131,13.249580879305453,9,Thursday,368.0,368.0
Screen + Q&A,137.0,0.0,39.0,10.0,25.0,9.0,No,2025-09-15,2,3.0,3.0,1.0,0.0,1.0,0.0,89.0,33.0,both,0.0,4,Golden Gate Girls,,3.5,,67.0,,Documentary,,2013.0,,1,0,3.5,3.5,67.0,67.0,2013.0,2013.0,2025,12.0,Documentary,Low,4.219507705176107,4.219507705176107,9,Monday,176.0,88.0
Regular screening,194.0,0.0,41.0,2.0,237.92,53.0,No,2025-09-18,2,24.0,19.0,6.0,6.0,9.0,0.0,89.0,33.0,both,0.0,5,Mallrats,SLC Punk,3.4,3.8,23687.0,55648.0,Romance/Comedy,Comedy/Drama,1995.0,1998.0,2,1,3.5999999999999996,3.8,79335.0,55648.0,1996.5,1995.0,2025,28.5,Romance,Medium,10.926819387090307,11.281447276865961,9,Thursday,235.0,117.5
Regular screening,74.0,0.0,3.0,2.0,94.81,26.0,No,2025-09-22,2,7.0,4.0,2.0,8.0,0.0,0.0,95.0,2.0,both,0.0,6,Greener Grass,Pleasantvile,3.6,3.7,26122.0,24966.0,Comedy,Comedy/Drama,2019.0,1998.0,2,1,3.6500000000000004,3.7,51088.0,26122.0,2008.5,1998.0,2025,16.5,Comedy,Medium,10.170571431312704,10.841324488831267,9,Monday,77.0,38.5
Regular screening,127.0,5.0,50.0,2.0,145.3,34.0,No,2025-09-25,2,10.0,10.0,0.0,13.0,5.0,2.0,95.0,2.0,both,0.0,7,Spree,Wobble Palace,3.1,3.1,127113.0,1591.0,Comedy/Horror,Romance/Comedy,2020.0,2018.0,2,1,3.1,3.1,128704.0,127113.0,2019.0,2018.0,2025,6.0,Comedy,High,11.752839600600128,11.765278242868424,9,Thursday,182.0,91.0
Beer Garden,324.0,8.0,281.0,2.0,827.54,122.0,No,2025-09-26,1,38.0,26.0,26.0,0.0,0.0,48.0,,,individual,0.0,8,Rodrick Rules,,3.8,,122765.0,,Comedy,,2011.0,,1,0,3.8,3.8,122765.0,122765.0,2011.0,2011.0,2025,14.0,Comedy,High,11.718035383394614,11.718035383394614,9,Friday,613.0,613.0
Screen + Q&A,61.0,0.0,25.0,13.0,17.0,5.0,No,2025-09-29,3,0.0,2.0,1.0,3.0,0.0,0.0,108.0,35.0,both,0.0,9,Intercepted,,3.8,,520.0,,Documentary,,2024.0,,1,0,3.8,3.8,520.0,520.0,2024.0,2024.0,2025,1.0,Documentary,Low,6.255750041753367,6.255750041753367,9,Monday,86.0,28.666666666666668
Regular screening,94.0,3.0,16.0,2.0,11.83,4.0,No,2025-09-30,2,1.0,3.0,0.0,0.0,0.0,0.0,82.0,14.0,both,0.0,10,Mobilize,Edge of the Knife,3.6,3.6,420.0,586.0,Documentary,Horror/Drama,2015.0,2018.0,2,1,3.6,3.6,1006.0,586.0,2016.5,2015.0,2025,8.5,Documentary,Low,6.375024819828097,6.914730892718563,9,Tuesday,113.0,56.5
Regular screening,100.0,1.0,13.0,2.0,10.83,2.0,No,2025-10-02,2,1.0,1.0,0.0,1.0,0.0,0.0,82.0,14.0,both,0.0,11,Angela,Saint Maud,3.6,3.5,751.0,62115.0,Drama,Horror/Thriller,1995.0,2019.0,2,1,3.55,3.6,62866.0,62115.0,2007.0,1995.0,2025,18.0,Drama,High,11.03675888368908,11.048776662726263,10,Thursday,114.0,57.0
Regular screening,91.0,0.0,36.0,2.0,32.66,9.0,No,2025-10-06,2,2.0,1.0,2.0,3.0,1.0,0.0,80.0,50.0,both,0.0,12,Possum,Four Flies on Grey Velvet,3.1,3.4,23665.0,6176.0,Horror/Thriller,Horror/Thriller,2018.0,1971.0,2,1,3.25,3.4,29841.0,23665.0,1994.5,1971.0,2025,30.5,Horror,Medium,10.071794697944505,10.303672076200368,10,Monday,127.0,63.5
Regular screening,134.0,4.0,63.0,2.0,108.98,20.0,No,2025-10-09,2,6.0,7.0,6.0,6.0,0.0,0.0,80.0,50.0,both,6.0,13,Ma,Serial Mom,2.5,3.8,112543.0,38467.0,Horror/Thriller,Comedy/Crime,2019.0,1994.0,2,1,3.15,3.8,151010.0,112543.0,2006.5,1994.0,2025,18.5,Horror,High,11.631099535273709,11.925107960825917,10,Thursday,201.0,100.5
Special,114.0,6.0,43.0,2.0,91.64,17.0,Yes,2025-10-10,3,8.0,8.0,2.0,5.0,0.0,0.0,176.0,56.0,both,2.0,14,Lurker,,3.6,,35115.0,,Drama/Thriller,,2025.0,,1,0,3.6,3.6,35115.0,35115.0,2025.0,2025.0,2025,0.0,Drama,Medium,10.4664121460461,10.4664121460461,10,Friday,163.0,54.333333333333336
