event_id,movie_1_title,movie_2_title,movie_1_rating,movie_2_rating,movie_1_ratings,movie_2_ratings,movie_1_genre,movie_2_genre,movie_1_release,movie_2_release
1,Perks of Being a Wallflower ,Welcome to The Dollhouse,4,3.6,635996,37579,Drama,Comedy/Drama,2012,1995
2,Mean Girls,Jawbreaker ,3.8,3.4,401508,47246,Comedy/Drama,Comedy/Thriller,2004,1999
3,American Psycho,Rules of Attraction ,3.8,3.3,555179,12652,Crime/Drama/Thriller,Comedy/Drama,2000,2002
4,Golden Gate Girls ,,3.5,,67,,Documentry,,2013,
5,Mallrats,SLC Punk,3.4,3.8,23687,55648,Romance/Comedy,Comedy/Drama,1995,1998
6,Greener Grass,Pleasantvile,3.6,3.7,26122,24966,Comedy ,Comedy/Drama,2019,1998
7,Spree,Wobble Palace,3.1,3.1,127113,1591,Comedy/Horror,Romance/Comedy,2020,2018
8,Rodrick Rules,,3.8,,122765,,Comedy ,,2011,
9,Intercepted,,3.8,,520,,Documentry,,2024,
10,Mobilize,Edge of the Knife ,3.6,3.6,420,586,Documentry,Horror/Drama,2015,2018
11,Angela,Saint Maud,3.6,3.5,751,62115,Drama,Horror/Thriller,1995,2019
12,Possum,Four Flies on Grey Velvet,3.1,3.4,23665,6176,Horror/Thriller,Horror/Thriller,2018,1971
13,Ma ,Serial Mom,2.5,3.8,112543,38467,Horror/Thriller,Comedy/Crime,2019,1994
14,Lurker,,3.6,,35115,,Drama/Thriller,,2025,
15,Repulsion ,May,3.9,3.6,19958,55841,Horror/Thriller,Comedy/Horror,1960,2002
16,Spark Animaiton,,,,,,,,,
17,The Lair of the White Worm,The Devils,3.5,4.2,20179,25906,Comedy/Horror,Horror/Drama,1988,1971
18,The Adams Family,The Adams Family Values,3.8,3.8,72907,51366,Comedy ,Comedy,1991,1993
19,Re-Animator,Evil Dead 2,3.8,4,55488,117689,Comedy/Horror,Comedy/Horror,1985,1987
20,The Day Iceland stood Still,,4,,678,,Documentry,,2023,
21,Three…Extremes,Pulse,3.6,3.7,4385,51010,Horror,Horror,2004,2001
22,Hour of the Wolf,Let the Right One In,4,4,15763,33901,Horror/Drama,Horror/Drama,1968,2008
23,Lunacy,Viy,3.7,3.6,546,15153,Comedy/Horror,Horror/Drama,2005,1967
24,A girl Walks home alone at night,Tenebre,3.8,3.7,38120,24201,Romance/Horror,Horror/Thriller,2014,1982
25,Scream,,4,,485958,,Crime/Horror,,1996,
26,Bon Cop Bad Cop,The Kid Detective,3.1,3.7,1680,17758,Comedy/Action,Comedy/Drama,2006,2020
